id,Номер Рейса,Что случилсоь,Наличие пострадавши,Поврежденные модули,Критично для текущего рейса?,id_Flight
636,550-93-5189,luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat,1,elementum in hac habitasse platea dictumst morbi vestibulum velit,0,636
637,808-10-5239,vel nisl duis ac nibh fusce lacus purus aliquet at,0,natoque penatibus et magnis dis parturient,0,637
638,213-54-9915,libero rutrum ac lobortis vel dapibus at diam nam tristique tortor,1,velit vivamus vel nulla eget eros elementum pellentesque quisque,0,638
639,377-36-8971,integer ac leo pellentesque ultrices mattis,0,cras pellentesque volutpat dui maecenas tristique est,0,639
640,643-44-1117,lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed,1,lorem,1,640
641,824-68-5961,cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus,0,elit sodales scelerisque,1,641
642,869-63-2154,eu magna vulputate luctus cum,1,congue diam id ornare imperdiet,0,642
643,841-14-9820,sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,1,nunc nisl duis bibendum felis sed interdum venenatis turpis enim,0,643
644,520-19-4698,maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum,1,in hac,0,644
645,174-44-7584,aliquam non mauris morbi non,1,erat,1,645
646,506-96-9035,ac neque duis bibendum morbi non quam,0,diam nam tristique tortor eu pede,1,646
647,582-24-4357,erat tortor sollicitudin mi sit amet lobortis sapien sapien,1,nibh in hac habitasse platea dictumst aliquam augue quam,1,647
648,149-87-5008,luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus,0,cubilia curae nulla dapibus,1,648
649,479-35-4595,ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam,0,tempus vivamus in felis eu sapien cursus vestibulum,1,649
650,116-92-2422,aenean fermentum donec ut mauris eget massa tempor,0,diam in,1,650
651,173-37-8388,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio,0,tortor risus dapibus augue,1,651
652,786-24-2161,vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum,0,consectetuer adipiscing elit proin interdum,0,652
653,416-10-9319,vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa,0,vitae mattis nibh ligula,1,653
654,730-13-8464,odio cras mi pede malesuada in imperdiet et commodo,1,nunc commodo placerat praesent blandit nam,1,654
655,735-35-1462,ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus,1,imperdiet,0,655
656,668-58-2824,ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat,0,velit eu est congue elementum in hac habitasse,1,656
657,469-61-7694,faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi,0,ultrices enim lorem ipsum dolor sit amet,1,657
658,309-94-7463,morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus,1,nec dui luctus rutrum nulla tellus in,1,658
659,193-39-0155,sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in,1,quisque ut erat,1,659
660,159-83-6241,pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit,0,tristique fusce congue diam id ornare imperdiet sapien urna,1,660
661,831-08-9253,aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit,1,dolor quis odio consequat varius integer ac leo,1,661
662,747-74-1904,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque,0,orci pede venenatis,1,662
663,771-83-1790,fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem,0,mi,0,663
664,137-68-8868,amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed,0,suscipit a feugiat et eros vestibulum ac est lacinia nisi,1,664
665,850-97-7025,ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis,1,turpis donec posuere metus vitae ipsum aliquam non mauris,0,665
666,696-06-8850,morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce,1,consequat varius integer ac leo pellentesque ultrices mattis,0,666
667,800-22-0919,ultricies eu nibh quisque id justo sit amet,1,libero convallis eget eleifend luctus,1,667
668,238-66-8451,nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat,1,aliquet ultrices erat tortor,1,668
669,227-48-4926,velit nec nisi vulputate nonummy maecenas tincidunt lacus at,1,at dolor quis,0,669
670,322-08-9334,eget tincidunt eget tempus vel pede morbi porttitor,1,enim leo rhoncus sed vestibulum sit amet cursus,0,670
671,805-93-1128,fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti,1,condimentum neque sapien placerat ante,1,671
672,798-45-6453,ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim,0,integer ac neque duis bibendum morbi non quam,1,672
673,652-95-9466,nunc donec quis orci eget orci vehicula,1,felis ut,1,673
674,784-93-1907,vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod,0,vulputate luctus cum,1,674
675,212-97-5221,cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue,0,luctus et ultrices posuere cubilia curae donec pharetra,1,675
676,708-84-2646,urna pretium nisl ut volutpat sapien arcu sed augue,1,sem duis aliquam convallis,0,676
677,377-21-4280,convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero,0,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis,0,677
678,468-66-3851,elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum,1,vestibulum,1,678
679,548-50-9482,amet turpis elementum ligula vehicula consequat morbi a ipsum integer,1,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra,1,679
680,836-31-2521,risus auctor sed tristique in tempus,0,massa,0,680
681,283-54-0963,mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis,0,lectus aliquam sit amet diam in magna bibendum imperdiet nullam,0,681
682,370-96-9565,mi in porttitor pede justo,0,quam fringilla rhoncus mauris enim leo,0,682
683,781-91-7981,fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat,1,nam dui proin leo,0,683
684,768-43-8233,amet sapien dignissim vestibulum vestibulum ante ipsum,0,lacus,0,684
685,674-65-5031,duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec,1,semper porta volutpat quam pede lobortis ligula sit amet eleifend,1,685
686,753-03-2422,potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et,0,nec sem duis aliquam,1,686
687,132-56-6974,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam,1,lectus vestibulum quam sapien,0,687
688,723-49-9600,nulla pede ullamcorper augue a suscipit nulla elit ac,0,dolor sit amet,1,688
689,335-41-8125,tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum,1,at ipsum ac tellus semper interdum mauris ullamcorper purus sit,0,689
690,177-07-4004,aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna,1,integer tincidunt ante vel ipsum,1,690
691,475-40-9176,primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor,1,ante ipsum,1,691
692,568-48-1088,mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum,0,hac habitasse platea dictumst aliquam,1,692
693,880-10-7399,lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula,1,platea dictumst,0,693
694,846-91-2534,proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh,0,pulvinar sed nisl nunc,0,694
695,853-57-6030,eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque,1,metus sapien ut nunc vestibulum,1,695
696,514-46-4158,praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi,0,consequat,0,696
697,447-18-1138,pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam,0,et commodo vulputate justo in,0,697
698,354-48-8300,sapien cursus vestibulum proin eu mi nulla,0,interdum mauris ullamcorper purus sit amet nulla quisque arcu,1,698
699,349-66-3684,varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci,1,nullam porttitor lacus at turpis donec posuere metus,0,699
700,229-86-2230,nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi,1,dolor sit amet consectetuer adipiscing,1,700
701,387-08-9257,maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at,1,neque duis bibendum morbi non,1,701
702,757-52-8194,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus,1,a suscipit nulla elit ac nulla sed vel enim,0,702
703,677-45-0341,metus vitae ipsum aliquam non mauris morbi non,1,phasellus in,1,703
704,234-43-5653,augue a suscipit nulla elit ac nulla sed vel enim,1,blandit non interdum in ante vestibulum,1,704
705,131-56-7834,consectetuer adipiscing elit proin interdum mauris non ligula,1,magna ac consequat metus sapien ut nunc,0,705
706,144-77-6010,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus,0,cubilia curae,0,706
707,482-75-6335,amet nunc viverra dapibus nulla suscipit,0,adipiscing elit proin interdum mauris non ligula,0,707
708,873-08-9801,natoque penatibus et magnis dis parturient montes,1,interdum mauris non ligula pellentesque ultrices phasellus,1,708
709,718-75-9446,purus phasellus in felis donec semper sapien a libero nam,1,sagittis sapien cum sociis natoque penatibus,1,709
710,479-45-0362,quam nec dui luctus rutrum nulla tellus in sagittis,1,donec diam neque vestibulum eget vulputate ut,0,710
711,310-03-5558,urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non,1,pharetra,1,711
712,320-31-3888,erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi,1,mauris non ligula pellentesque ultrices phasellus id sapien in,1,712
713,201-53-6420,congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui,1,morbi,1,713
714,664-24-3760,risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum,0,venenatis tristique fusce congue,0,714
715,353-95-6075,nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque,1,integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum,0,715
716,315-18-2586,magnis dis parturient montes nascetur ridiculus mus vivamus,0,vehicula condimentum curabitur,0,716
717,271-84-0162,curae nulla dapibus dolor vel est donec odio justo sollicitudin,0,urna pretium,0,717
718,344-32-5191,lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id,1,iaculis diam erat fermentum justo nec condimentum neque,0,718
719,668-18-9301,aenean auctor gravida sem praesent id,0,porttitor pede justo eu massa donec dapibus duis at,1,719
720,115-58-6034,justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas,1,felis donec semper sapien a,1,720
721,671-86-8695,elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien,1,duis aliquam convallis nunc,1,721
722,700-89-6876,orci luctus et ultrices posuere cubilia curae nulla dapibus,1,in est risus auctor sed tristique,0,722
723,560-84-1182,aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget,0,est lacinia nisi venenatis tristique fusce congue,1,723
724,815-58-5389,adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum,1,in quis justo maecenas rhoncus aliquam lacus morbi quis,1,724
725,887-57-7429,nisl ut volutpat sapien arcu sed augue,1,lorem ipsum dolor sit amet consectetuer adipiscing elit,0,725
726,129-80-7133,ut ultrices vel augue vestibulum ante ipsum primis in faucibus,0,ligula nec sem duis aliquam convallis nunc proin at turpis,0,726
727,163-82-5103,bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh,0,vestibulum vestibulum,0,727
728,174-41-3750,tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus,0,tortor risus dapibus augue vel accumsan tellus nisi eu,1,728
729,273-51-2642,orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo,0,nibh ligula nec sem,1,729
730,624-87-4655,habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat,0,luctus nec molestie sed justo pellentesque viverra pede ac diam,1,730
731,816-83-3192,in congue etiam justo etiam pretium iaculis justo in hac habitasse platea,0,porta volutpat,1,731
732,202-44-3901,justo aliquam quis turpis eget,0,neque,1,732
733,767-71-4444,quisque arcu libero rutrum ac lobortis,0,faucibus orci,0,733
734,626-66-3204,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit,0,integer ac leo pellentesque,0,734
735,367-86-0049,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,0,morbi a ipsum integer a nibh in quis justo,1,735
736,375-47-3434,dapibus nulla suscipit ligula in,1,metus sapien ut nunc vestibulum ante ipsum primis in,0,736
737,813-18-3887,et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut,0,eu nibh quisque id justo sit amet sapien dignissim vestibulum,0,737
738,392-36-4888,et tempus semper est quam pharetra magna ac consequat metus,0,semper sapien a libero nam dui proin leo odio porttitor,1,738
739,299-97-9104,aenean sit amet justo morbi ut odio cras mi,1,orci luctus et ultrices,1,739
740,446-29-1326,consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus,0,sodales sed,0,740
741,538-05-2427,posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit,0,in quam fringilla rhoncus mauris enim leo rhoncus sed,1,741
742,851-69-1045,enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris,1,etiam vel augue,0,742
743,347-28-1424,posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a,0,suspendisse potenti,1,743
744,230-22-5212,nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget,0,pulvinar nulla pede ullamcorper augue a suscipit nulla elit,0,744
745,715-60-7306,elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien,1,vestibulum ante ipsum primis in faucibus orci luctus et,1,745
746,563-62-6765,orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu,0,justo sollicitudin ut suscipit a feugiat et,1,746
747,349-37-7121,tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris,0,augue vestibulum ante ipsum primis in faucibus orci,1,747
748,681-54-9873,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit,0,donec vitae nisi nam ultrices libero,1,748
749,297-67-2067,turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec,0,vitae ipsum aliquam non mauris morbi non lectus,0,749
750,240-51-9843,est quam pharetra magna ac consequat metus,1,leo pellentesque ultrices mattis odio donec vitae nisi,1,750
751,188-40-2254,est lacinia nisi venenatis tristique fusce,1,sodales,1,751
752,432-04-2082,suscipit nulla elit ac nulla sed vel enim sit,1,id mauris vulputate elementum nullam varius nulla facilisi,0,752
753,615-61-3408,eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium,0,accumsan tortor quis turpis sed ante,0,753
754,772-36-9797,et commodo vulputate justo in blandit ultrices enim,1,neque vestibulum eget vulputate ut ultrices vel,0,754
755,298-56-8515,nunc purus phasellus in felis donec semper sapien a libero nam,0,porttitor lacus at,1,755
756,573-98-0187,volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec,0,nulla suscipit ligula in lacus curabitur,1,756
757,828-04-3726,lorem integer tincidunt ante vel ipsum,1,neque,1,757
758,223-69-1358,ac nulla sed vel enim sit amet nunc viverra,0,purus aliquet,1,758
759,798-97-1131,odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est,1,faucibus orci,0,759
760,686-61-3472,massa quis augue luctus tincidunt nulla mollis molestie lorem quisque,0,luctus cum sociis natoque penatibus et,0,760
761,521-59-7509,posuere cubilia curae mauris viverra diam vitae quam,0,posuere felis,1,761
762,781-73-9259,dolor morbi vel lectus in quam fringilla,0,hac habitasse platea dictumst maecenas ut massa quis,0,762
763,561-67-7532,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum,0,et eros vestibulum,0,763
764,510-34-0917,lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla,1,nec dui luctus rutrum nulla,1,764
765,464-71-4036,in faucibus orci luctus et ultrices posuere cubilia,0,posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti,1,765
766,737-81-6580,dapibus dolor vel est donec odio justo sollicitudin ut suscipit a,0,odio cras mi pede malesuada in imperdiet et commodo vulputate,0,766
767,760-18-3033,nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel,0,dictumst aliquam augue quam sollicitudin,1,767
768,812-74-1341,pretium quis lectus suspendisse potenti in eleifend,1,mauris ullamcorper purus sit amet nulla quisque arcu libero,1,768
769,703-81-3433,lectus in est risus auctor sed,1,nunc nisl duis,0,769
770,588-41-3639,diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere,0,donec semper sapien a libero nam dui proin,1,770
771,124-67-3369,nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat,0,amet sem fusce consequat nulla nisl nunc,1,771
772,497-14-6719,primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis,1,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt,0,772
773,685-39-4799,etiam pretium iaculis justo in hac habitasse platea,1,sagittis nam congue,1,773
774,348-20-8451,posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis,0,mi,1,774
775,364-51-1570,nulla eget eros elementum pellentesque quisque porta volutpat erat quisque,1,elementum in hac habitasse,0,775
776,259-54-9704,congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend,0,mattis odio donec,0,776
777,570-31-7641,augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi,1,id turpis integer,1,777
778,289-04-8604,tellus nisi eu orci mauris lacinia sapien quis libero nullam,0,bibendum felis sed interdum venenatis turpis enim blandit,0,778
779,889-69-9912,elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum,0,vestibulum quam sapien varius ut blandit non interdum in ante,1,779
780,502-86-5201,tristique est et tempus semper est quam pharetra magna ac,0,semper interdum mauris ullamcorper purus,0,780
781,240-29-4166,phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim,1,lacus at turpis donec posuere metus,1,781
782,112-06-8602,justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id,0,convallis tortor risus dapibus augue vel accumsan tellus nisi eu,1,782
783,325-69-5705,placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit,0,quam a odio,0,783
784,423-12-7101,sit amet consectetuer adipiscing elit proin,1,libero non mattis pulvinar nulla,1,784
785,801-47-8571,facilisi cras non velit nec nisi vulputate,1,ut nunc vestibulum ante ipsum primis in faucibus,0,785
786,638-21-2908,lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet,1,sit amet,0,786
787,637-55-1189,hendrerit at vulputate vitae nisl,1,odio cras mi pede malesuada in imperdiet,1,787
788,506-07-9745,consequat lectus in est risus auctor sed,0,lectus vestibulum,1,788
789,637-10-4185,tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu,0,integer non velit donec,1,789
790,230-51-6855,sed accumsan felis ut at dolor quis odio consequat varius integer ac,0,vel ipsum praesent blandit lacinia erat vestibulum sed magna,1,790
791,306-31-0435,turpis integer aliquet massa id,0,aliquam non mauris morbi non,0,791
792,391-35-7534,tristique est et tempus semper est quam pharetra magna ac consequat metus sapien,1,velit id pretium iaculis diam erat fermentum justo,1,792
793,849-37-8073,orci nullam molestie nibh in lectus pellentesque,1,tristique fusce,1,793
794,531-98-4492,luctus et ultrices posuere cubilia,1,cras in purus eu,1,794
795,423-12-4923,consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices,0,lacus morbi sem mauris laoreet,0,795
796,191-98-9508,ut dolor morbi vel lectus in quam,1,curabitur convallis duis consequat dui nec,1,796
797,185-90-7662,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien,0,donec odio justo sollicitudin ut suscipit a,1,797
798,870-09-0715,sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non,1,tristique in tempus sit amet,1,798
799,752-22-1623,potenti cras in purus eu magna,0,in,0,799
800,644-32-8602,felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in,1,vestibulum ante ipsum,0,800
801,697-23-0767,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec,0,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel,1,801
802,202-51-3239,luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus,0,convallis nulla neque libero convallis eget eleifend luctus,1,802
803,869-73-6030,donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio,0,et ultrices posuere cubilia,1,803
804,611-86-7655,in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer,0,erat volutpat in congue etiam justo etiam pretium iaculis justo,0,804
805,637-70-5131,dolor quis odio consequat varius integer ac leo,0,suscipit a feugiat et eros vestibulum ac est,0,805
806,708-95-6813,mattis nibh ligula nec sem,0,rutrum nulla tellus in,0,806
807,725-50-3461,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut,0,eget eleifend luctus ultricies eu,0,807
808,609-31-4612,non pretium quis lectus suspendisse potenti in eleifend,0,mi nulla ac enim in tempor turpis nec euismod,0,808
809,331-49-4491,morbi quis tortor id nulla ultrices aliquet maecenas leo odio,0,at diam nam tristique,1,809
810,592-62-8835,pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus,1,accumsan odio curabitur convallis,0,810
811,358-15-3249,vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id,0,primis in faucibus orci luctus et ultrices posuere,1,811
812,620-51-8478,erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec,1,duis mattis egestas metus aenean fermentum donec ut,1,812
813,169-06-1038,et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur,1,lacus purus aliquet,1,813
814,164-66-1795,erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla,1,lorem vitae mattis nibh ligula,1,814
815,678-08-7144,platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum,1,in faucibus orci luctus et,1,815
816,780-28-6086,eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor,1,duis consequat dui nec,0,816
817,859-29-9552,mi pede malesuada in imperdiet et commodo vulputate justo in,1,nec nisi,1,817
818,343-83-9945,eget nunc donec quis orci eget orci,0,cubilia curae donec pharetra magna vestibulum,1,818
819,491-40-8687,potenti cras in purus eu magna vulputate luctus cum sociis,0,amet lobortis sapien sapien non mi integer,1,819
820,703-16-4871,leo odio porttitor id consequat,1,ac est lacinia nisi,0,820
821,628-67-3560,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla,1,libero ut massa volutpat convallis morbi odio,1,821
822,366-62-0680,sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean,1,consequat lectus in est risus auctor sed tristique in,0,822
823,470-92-1151,elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit,1,in felis eu sapien cursus vestibulum proin,0,823
824,462-64-2891,vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis,1,aliquam erat volutpat in congue etiam justo etiam pretium,0,824
825,808-32-1393,imperdiet et commodo vulputate justo,0,eu tincidunt,1,825
826,699-89-2652,cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non,0,nunc proin,1,826
827,802-16-4671,eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst,1,quam pharetra magna ac consequat metus sapien ut nunc vestibulum,0,827
828,599-73-8786,donec vitae nisi nam ultrices,0,orci eget orci vehicula condimentum curabitur,1,828
829,634-91-7635,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu,1,maecenas tincidunt lacus at velit,1,829
830,434-57-6036,nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero,0,justo aliquam quis turpis eget,0,830
831,347-38-0019,neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros,1,nam dui,1,831
832,607-69-4977,ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam,0,viverra dapibus nulla suscipit ligula in lacus,0,832
833,381-42-5446,vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient,1,in hac habitasse platea,0,833
834,635-48-4354,curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien,0,nibh,1,834
835,815-77-4951,etiam pretium iaculis justo in hac habitasse platea,1,orci mauris lacinia sapien quis libero,0,835
836,412-63-3063,proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh,0,urna pretium nisl ut volutpat sapien arcu sed augue,0,836
837,713-53-7884,fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti,1,aenean auctor gravida sem praesent id massa,0,837
838,181-73-4900,tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris,0,vel augue vestibulum rutrum,1,838
839,841-65-5767,pellentesque ultrices mattis odio donec,1,varius nulla facilisi cras non velit nec,0,839
840,752-90-6978,platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris,0,suspendisse potenti cras in purus eu magna,1,840
841,865-08-0109,turpis sed ante vivamus tortor duis mattis egestas,0,phasellus in felis donec,0,841
842,478-74-6152,dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis,0,fermentum justo nec,0,842
843,482-77-0259,est lacinia nisi venenatis tristique fusce congue diam,0,nec sem duis aliquam convallis nunc proin,1,843
844,702-33-5087,nunc proin at turpis a pede posuere nonummy integer non velit donec diam,1,sit amet diam in magna bibendum,1,844
845,288-22-7551,vestibulum rutrum rutrum neque aenean auctor gravida sem praesent,0,iaculis justo in hac habitasse,0,845
846,210-89-6431,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum,0,vivamus in felis eu sapien cursus,1,846
847,171-83-7708,nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec,0,et commodo,1,847
